DATE,IC4WSA
2004-10-01,337350.000000000000
2004-11-01,330687.500000000000
2004-12-01,328250.000000000000
2005-01-01,340250.000000000000
2005-02-01,317812.500000000000
2005-03-01,324375.000000000000
2005-04-01,326450.000000000000
2005-05-01,324625.000000000000
2005-06-01,330312.500000000000
2005-07-01,324450.000000000000
2005-08-01,316000.000000000000
2005-09-01,355000.000000000000
2005-10-01,371450.000000000000
2005-11-01,321750.000000000000
2005-12-01,318000.000000000000
2006-01-01,304937.500000000000
2006-02-01,288750.000000000000
2006-03-01,298312.500000000000
2006-04-01,299600.000000000000
2006-05-01,327437.500000000000
2006-06-01,313125.000000000000
2006-07-01,317700.000000000000
2006-08-01,313062.500000000000
2006-09-01,315850.000000000000
2006-10-01,313875.000000000000
2006-11-01,320312.500000000000
2006-12-01,325150.000000000000
2007-01-01,323312.500000000000
2007-02-01,319250.000000000000
2007-03-01,314900.000000000000
2007-04-01,318000.000000000000
2007-05-01,305812.500000000000
2007-06-01,312700.000000000000
2007-07-01,316062.500000000000
2007-08-01,314187.500000000000
2007-09-01,317250.000000000000
2007-10-01,320812.500000000000
2007-11-01,331875.000000000000
2007-12-01,343850.000000000000
2008-01-01,343625.000000000000
2008-02-01,345375.000000000000
2008-03-01,354300.000000000000
2008-04-01,365312.500000000000
2008-05-01,365900.000000000000
2008-06-01,375437.500000000000
2008-07-01,387062.500000000000
2008-08-01,427950.000000000000
2008-09-01,447000.000000000000
2008-10-01,475687.500000000000
2008-11-01,503300.000000000000
2008-12-01,554500.000000000000
2009-01-01,556450.000000000000
2009-02-01,628500.000000000000
2009-03-01,654875.000000000000
2009-04-01,642187.500000000000
2009-05-01,616200.000000000000
2009-06-01,602000.000000000000
2009-07-01,576875.000000000000
2009-08-01,561850.000000000000
2009-09-01,553625.000000000000
2009-10-01,531350.000000000000
2009-11-01,510312.500000000000
2009-12-01,487750.000000000000
2010-01-01,475950.000000000000
2010-02-01,484750.000000000000
2010-03-01,479875.000000000000
2010-04-01,471187.500000000000
2010-05-01,458900.000000000000
2010-06-01,461187.500000000000
2010-07-01,456350.000000000000
2010-08-01,475312.500000000000
2010-09-01,458250.000000000000
2010-10-01,450400.000000000000
2010-11-01,434062.500000000000
2010-12-01,423812.500000000000
2011-01-01,422400.000000000000
2011-02-01,414312.500000000000
2011-03-01,403062.500000000000
2011-04-01,408850.000000000000
2011-05-01,431000.000000000000
2011-06-01,418625.000000000000
2011-07-01,415000.000000000000
2011-08-01,409125.000000000000
2011-09-01,416187.500000000000
2011-10-01,407050.000000000000
2011-11-01,392625.000000000000
2011-12-01,380800.000000000000
2012-01-01,384937.500000000000
2012-02-01,367687.500000000000
2012-03-01,366900.000000000000
2012-04-01,375312.500000000000
2012-05-01,374562.500000000000
2012-06-01,378900.000000000000
2012-07-01,373625.000000000000
2012-08-01,372625.000000000000
2012-09-01,380700.000000000000
2012-10-01,371500.000000000000
2012-11-01,389000.000000000000
2012-12-01,371800.000000000000
2013-01-01,359625.000000000000
2013-02-01,354437.500000000000
2013-03-01,347450.000000000000
2013-04-01,356562.500000000000
2013-05-01,343375.000000000000
2013-06-01,346500.000000000000
2013-07-01,346687.500000000000
2013-08-01,336850.000000000000
2013-09-01,318937.500000000000
2013-10-01,345812.500000000000
2013-11-01,338800.000000000000
2013-12-01,337937.500000000000
2014-01-01,329000.000000000000
2014-02-01,333250.000000000000
2014-03-01,325350.000000000000
2014-04-01,319000.000000000000
2014-05-01,320150.000000000000
2014-06-01,313625.000000000000
2014-07-01,305687.500000000000
2014-08-01,301650.000000000000
2014-09-01,299000.000000000000
2014-10-01,289625.000000000000
2014-11-01,289700.000000000000
2014-12-01,289437.500000000000
2015-01-01,289100.000000000000
2015-02-01,289812.500000000000
2015-03-01,295312.500000000000
2015-04-01,284125.000000000000
2015-05-01,275600.000000000000
2015-06-01,275187.500000000000
2015-07-01,278875.000000000000
2015-08-01,273100.000000000000
2015-09-01,272375.000000000000
2015-10-01,267050.000000000000
2015-11-01,270250.000000000000
2015-12-01,269312.500000000000
2016-01-01,276700.000000000000
2016-02-01,270812.500000000000
2016-03-01,263562.500000000000
2016-04-01,265750.000000000000
2016-05-01,274937.500000000000
2016-06-01,266562.500000000000
2016-07-01,259150.000000000000
2016-08-01,264187.500000000000
2016-09-01,256625.000000000000
2016-10-01,251950.000000000000
2016-11-01,250812.500000000000
2016-12-01,251350.000000000000
2017-01-01,246687.500000000000
2017-02-01,236062.500000000000
2017-03-01,231500.000000000000
2017-04-01,227950.000000000000
2017-05-01,235125.000000000000
2017-06-01,246812.500000000000
2017-07-01,251100.000000000000
2017-08-01,247875.000000000000
2017-09-01,267750.000000000000
2017-10-01,250312.500000000000
2017-11-01,245562.500000000000
2017-12-01,241850.000000000000
2018-01-01,242375.000000000000
2018-02-01,225062.500000000000
2018-03-01,223200.000000000000
2018-04-01,226875.000000000000
2018-05-01,216812.500000000000
2018-06-01,222700.000000000000
2018-07-01,215750.000000000000
2018-08-01,208062.500000000000
2018-09-01,205550.000000000000
2018-10-01,210250.000000000000
2018-11-01,219500.000000000000
2018-12-01,224350.000000000000
2019-01-01,225187.500000000000
2019-02-01,227250.000000000000
2019-03-01,221100.000000000000
2019-04-01,210625.000000000000
2019-05-01,220250.000000000000
2019-06-01,221450.000000000000
2019-07-01,213562.500000000000
2019-08-01,204850.000000000000
2019-09-01,204125.000000000000
2019-10-01,209000.000000000000
2019-11-01,219850.000000000000
2019-12-01,233187.500000000000
2020-01-01,222375.000000000000
2020-02-01,211700.000000000000
2020-03-01,923187.500000000000
2020-04-01,4684187.500000000000
2020-05-01,2807100.000000000000
2020-06-01,1627125.000000000000
2020-07-01,1427937.500000000000
2020-08-01,1058000.000000000000
2020-09-01,874125.000000000000
2020-10-01,809850.000000000000
2020-11-01,760000.000000000000
2020-12-01,818000.000000000000
2021-01-01,827000.000000000000
2021-02-01,788312.500000000000
2021-03-01,693687.500000000000
2021-04-01,620375.000000000000
2021-05-01,508950.000000000000
2021-06-01,425625.000000000000
2021-07-01,373200.000000000000
2021-08-01,356812.500000000000
2021-09-01,339937.500000000000
2021-10-01,306900.000000000000
2021-11-01,254562.500000000000
2021-12-01,221500.000000000000
2022-01-01,229950.000000000000
2022-02-01,227687.500000000000
2022-03-01,220312.500000000000
2022-04-01,215650.000000000000
2022-05-01,213937.500000000000
2022-06-01,214875.000000000000
2022-07-01,214950.000000000000
2022-08-01,212875.000000000000
2022-09-01,198437.500000000000
2022-10-01,196800.000000000000
2022-11-01,207750.000000000000
2022-12-01,212200.000000000000
2023-01-01,203937.500000000000
2023-02-01,210500.000000000000
2023-03-01,232687.500000000000
2023-04-01,238600.000000000000
2023-05-01,232625.000000000000
2023-06-01,249375.000000000000
2023-07-01,239950.000000000000
2023-08-01,235250.000000000000
2023-09-01,218400.000000000000
2023-10-01,207750.000000000000
